run_id,num_missiles,engagement_range,axis,hits,destroyed,timeouts,ship_killed,hits_taken
7,5,5000.0,frontal,0,5,0,0,0
8,5,5000.0,frontal,0,5,0,0,0
9,5,5000.0,frontal,0,5,0,0,0
10,5,5000.0,frontal,0,5,0,0,0
1,6,5000.0,frontal,1,5,0,0,1
2,6,5000.0,frontal,1,5,0,0,1
3,6,5000.0,frontal,1,5,0,0,1
4,6,5000.0,frontal,1,5,0,0,1
5,6,5000.0,frontal,1,5,0,0,1
6,6,5000.0,frontal,1,5,0,0,1
7,6,5000.0,frontal,1,5,0,0,1
8,6,5000.0,frontal,0,6,0,0,0
9,6,5000.0,frontal,1,5,0,0,1
10,6,5000.0,frontal,1,5,0,0,1
1,8,5000.0,frontal,3,5,0,0,3
2,8,5000.0,frontal,3,5,0,0,3
3,8,5000.0,frontal,2,6,0,0,2
4,8,5000.0,frontal,0,8,0,0,0
5,8,5000.0,frontal,3,5,0,0,3
6,8,5000.0,frontal,1,7,0,0,1
7,8,5000.0,frontal,3,5,0,0,3
8,8,5000.0,frontal,2,6,0,0,2
9,8,5000.0,frontal,3,5,0,0,3
10,8,5000.0,frontal,3,5,0,0,3
1,10,5000.0,frontal,5,5,0,0,5
2,10,5000.0,frontal,5,5,0,0,5
3,10,5000.0,frontal,5,5,0,0,5
4,10,5000.0,frontal,4,6,0,0,4
5,10,5000.0,frontal,5,5,0,0,5
6,10,5000.0,frontal,4,6,0,0,4
7,10,5000.0,frontal,5,5,0,0,5
8,10,5000.0,frontal,5,5,0,0,5
9,10,5000.0,frontal,5,5,0,0,5
10,10,5000.0,frontal,5,5,0,0,5
1,15,5000.0,frontal,10,5,0,0,10
2,15,5000.0,frontal,10,5,0,0,10
3,15,5000.0,frontal,10,5,0,0,10
4,15,5000.0,frontal,9,6,0,0,9
5,15,5000.0,frontal,8,7,0,0,8
6,15,5000.0,frontal,10,5,0,0,10
7,15,5000.0,frontal,10,5,0,0,10
8,15,5000.0,frontal,9,6,0,0,9
9,15,5000.0,frontal,10,5,0,0,10
10,15,5000.0,frontal,8,7,0,0,8
1,1,7000.0,frontal,0,1,0,0,0
2,1,7000.0,frontal,0,1,0,0,0
3,1,7000.0,frontal,0,1,0,0,0
4,1,7000.0,frontal,0,1,0,0,0
5,1,7000.0,frontal,0,1,0,0,0
6,1,7000.0,frontal,0,1,0,0,0
7,1,7000.0,frontal,0,1,0,0,0
8,1,7000.0,frontal,0,1,0,0,0
